timestamp,algorithm,n,seed,neg_ratio,dataset_key,batch_id,run_kind,runtime_us,k,neg_count,pos_count,partition_ok,k_ok,ok,array_file
20260327_151126_222425_aaae74,Direct Scan,50000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151103_247247_271c4d,all,7653405,45072,45072,4928,True,True,True,
20260327_151126_277632_e8b7da,Two Pointers,50000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151103_247247_271c4d,all,6848,45072,45072,4928,True,True,True,
20260327_151126_339358_c00523,Transform-and-Conquer,50000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151103_247247_271c4d,all,9395,45072,45072,4928,True,True,True,
20260327_151126_896588_a516ae,Divide-and-Conquer,50000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151103_247247_271c4d,all,174666,45072,45072,4928,True,True,True,
20260327_151309_484030_8741d4,Direct Scan,100000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151137_072541_5eb142,all,30800509,90114,90114,9886,True,True,True,
20260327_151309_578675_f6502e,Two Pointers,100000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151137_072541_5eb142,all,13928,90114,90114,9886,True,True,True,
20260327_151309_690050_d7786d,Transform-and-Conquer,100000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151137_072541_5eb142,all,18991,90114,90114,9886,True,True,True,
20260327_151310_858723_a99da4,Divide-and-Conquer,100000,123,0.900000,seed=123|neg_ratio=0.900000,all_20260327_151137_072541_5eb142,all,374146,90114,90114,9886,True,True,True,
20260327_151445_098315_a98803,Direct Scan,1000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151445_018654_cd93a6,all,16127,301,301,699,True,True,True,
20260327_151445_130051_d3913d,Two Pointers,1000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151445_018654_cd93a6,all,134,301,301,699,True,True,True,
20260327_151445_146243_f81c75,Transform-and-Conquer,1000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151445_018654_cd93a6,all,169,301,301,699,True,True,True,
20260327_151445_177727_a8d0d3,Divide-and-Conquer,1000,123,0.300000,seed=123|neg_ratio=0.300000,all_20260327_151445_018654_cd93a6,all,2645,301,301,699,True,True,True,
